Issue code,Issue name,Market type,Company category,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
"000480","CR Holdings","KOSPI",,"4820","-40","-0.82","4860","4885","4795","27509","132989385","226012161800","46890490"
"215570","CRONEX","KONEX","General Company-Division","1150","2","0.17","1150","1200","1054","11633","12939269","7167310600","6232444"
"264900","CROWN","KOSPI",,"8290","-30","-0.36","8390","8390","8150","14490","119290510","103822716500","12523850"
"26490K","CROWN(1P)","KOSPI",,"9070","-40","-0.44","9150","9220","8820","663","5887305","7016189200","773560"
"005740","CROWNHAITAI Holdings","KOSPI",,"6550","-90","-1.36","6700","6700","6440","16566","108351570","97250122850","14847347"
"005745","CROWNHAITAI Holdings(1P)","KOSPI",,"7400","0","0.00","7500","7500","7400","508","3780300","4445372400","600726"
"065770","CS","KOSDAQ","Venture business","1108","-117","-9.55","1224","1224","1060","2097385","2365418604","21507532040","19411130"
"297090","CS BEARING","KOSDAQ","More significant investment(none market division)","7960","-120","-1.49","8080","8450","7920","456814","3710187605","217069200000","27270000"
"083660","CSA Cosmic","KOSDAQ","Enterprise of middle standing","282","-4","-1.40","294","294","279","350007","99356419","17717907438","62829459"
"000590","CSHOLDINGS","KOSPI",,"74000","-3300","-4.27","77500","77500","74000","1839","137219700","85431668000","1154482"
"112610","CSWIND","KOSPI",,"64900","1200","1.88","63900","67700","63300","915114","60081855050","2736924054700","42171403"
"060590","CTC BIO","KOSDAQ","Enterprise of middle standing","3705","-190","-4.88","3935","3935","3650","66898","251334239","89590679100","24181020"
"260930","CTK","KOSDAQ","Enterprise of middle standing","3720","-345","-8.49","4065","4200","3680","704588","2815537174","71950718520","19341591"
"071850","CTK","KOSDAQ","More significant investment(none market division)","1519","-4","-0.26","1509","1534","1500","11667","17693443","36852364822","24260938"
